Date,Close/Last,Volume,Open,High,Low
1113,$133.41,71379650,$133.88,$134.26,$131.44
1112,$133.49,69458950,$131.25,$133.51,$130.46
1111,$130.73,63896160,$130.26,$131.2636,$128.12
1110,$130.15,70790810,$130.465,$133.41,$129.89
1107,$129.62,87754720,$126.01,$130.29,$124.89
1106,$125.02,80962710,$127.13,$127.77,$124.76
1105,$126.36,89113630,$126.89,$128.6557,$125.08
1104,$125.07,112117500,$130.28,$130.90,$124.17
1100,$129.93,77034210,$128.41,$129.95,$127.43
1099,$129.61,75703710,$127.99,$130.4814,$127.73
1098,$126.04,85438390,$129.67,$131.0275,$125.87
1097,$130.03,69007830,$131.38,$131.41,$128.72
1093,$131.86,63814890,$130.92,$132.415,$129.64
1092,$132.23,77852110,$134.352,$134.56,$130.30
1091,$135.45,85927990,$132.98,$136.81,$132.75
1090,$132.30,77432820,$131.39,$133.25,$129.89
1089,$132.37,79592610,$135.11,$135.20,$131.32
1086,$134.51,160156900,$136.685,$137.65,$133.73
1085,$136.50,98931910,$141.11,$141.80,$136.025
1084,$143.21,82291180,$145.35,$146.655,$141.16
1083,$145.47,93886160,$149.50,$149.9692,$144.24
1082,$144.49,70462650,$142.70,$144.50,$141.06
1079,$142.16,76097010,$142.34,$145.57,$140.90
1078,$142.65,62128340,$142.36,$143.52,$141.10
1077,$140.94,69721090,$142.19,$143.37,$140.00
1076,$142.91,64727190,$147.075,$147.30,$141.92
1075,$146.63,68826440,$147.77,$150.9199,$145.77
1072,$147.81,65447450,$145.96,$148.00,$145.65
1071,$148.31,71250420,$148.21,$149.13,$146.61
1070,$148.03,111380900,$141.395,$148.72,$140.55
1069,$141.17,83763800,$144.29,$144.81,$140.355
1068,$144.22,69346520,$145.14,$146.64,$143.38
1065,$148.11,35195860,$148.305,$148.88,$147.12
1063,$151.07,58301400,$149.45,$151.83,$149.34
1062,$150.18,51804130,$148.13,$150.42,$146.925
1061,$148.01,58724070,$150.16,$150.37,$147.715
1058,$151.29,74829570,$152.305,$152.70,$149.97
1057,$150.72,80389400,$146.43,$151.48,$146.15
1056,$148.79,64218270,$149.13,$149.87,$147.29
1055,$150.04,89868330,$152.215,$153.59,$148.5613
1054,$148.28,73374110,$148.97,$150.28,$147.43
